['fascinated', 0.9998402104864278]
['windin', 0.9904765654996496]
['supplied', 0.9904765654996496]
['lovable', 0.9904765654996496]
['relates', 0.9904765654996496]
['iridium', 0.9904765654996496]
['indistinctness', 0.9904765654996496]
['precision', 0.9904765654996496]
['electrician', 0.9904765654996496]
['fogs', 0.9904765654996496]
['preachers', 0.9904765654996496]
['foliage', 0.9904765654996496]
['thirty', 0.9904765654996496]
['beating', 0.9904765654996496]
['anticipate', 0.9904765654996496]
['conflict', 0.9904765654996496]
['corneille', 0.9904765654996496]
['stoutly', 0.9904765654996496]
['unforgetful', 0.9904765654996496]
['oddity', 0.9904765654996496]
['annoyed', 0.9904765654996496]
['timidly', 0.9904765654996496]
['laszlo', 0.9904765654996496]
['unaffected', 0.9904765654996496]
['nestor', 0.9904765654996496]
['czaski', 0.9904765654996496]
['phoebus', 0.9904765654996496]
['subsided', 0.9904542419361096]
['tunisian', 0.99038645106343]
['watchfully', 0.9903724896194089]
['lickin', 0.9903399411815111]
['clothing', 0.9903399411815111]
['hardship', 0.9903292806293339]
['trunks', 0.9903053396931079]
['cruise', 0.9902334797628887]
['encircling', 0.9902270968044117]
['sensibly', 0.9902096653018025]
['extensive', 0.9900865938991554]
['individualities', 0.9900776186912602]
['spitfire', 0.9900615493154494]
['watchword', 0.9900358513649193]
['ploughing', 0.9899933664402275]
['southeast', 0.9899933664402275]
['winter', 0.9899743172719241]
['thy', 0.9899743172719241]
['speechless', 0.9899743172719241]
['escutcheon', 0.9899743172719241]
['neuilly', 0.9899743172719241]
['meditated', 0.9899743172719241]
['victoria', 0.9899413394994746]
['spans', 0.9899159968408784]
['preparatory', 0.9899056163593901]
['_that_', 0.989897995254198]
['epimenides', 0.9898423812657409]
['unbroken', 0.9898423812657409]
['reine', 0.9898423812657409]
['conflicts', 0.9898245643220063]
['depth', 0.9898219848985378]
['valise', 0.9898156332145559]
['foreigner', 0.989777450299486]
['competent', 0.9897766926126662]
['immortalised', 0.9897642412101303]
['_lavater_', 0.989704648412279]
['marvelous', 0.9896766195442104]
['eagen', 0.9896704034571517]
['helter', 0.9896586253383457]
['paddlin', 0.9896586253383457]
['insatiable', 0.9896586253383457]
['insecurely', 0.9896586253383457]
['impregnable', 0.989633047719658]
['loveliness', 0.9896005725107047]
['classical', 0.9895948503345126]
['sex', 0.9895947277580972]
['devils', 0.9895201502345174]
['purchases', 0.9895108011852273]
['slippery', 0.9894431256458247]
['rot', 0.9894138520341779]
['flickeringly', 0.9894138520341779]
['debility', 0.9894138520341779]
['omrah', 0.989373220771365]
['explained_', 0.989373220771365]
['autocracy', 0.989373220771365]
['packages', 0.989373220771365]
['guided', 0.989373220771365]
['shove', 0.989373220771365]
['devotional', 0.989373220771365]
['furred', 0.989373220771365]
['yer', 0.9892874941486577]
['blind', 0.9892872565321318]
['tact', 0.9892637133951031]
['resorts', 0.9892062539635865]
['fabius', 0.9892062539635865]
['restoration', 0.9892062539635865]
['affecting', 0.9892062539635865]
['gone', 0.9892062539635865]
['hopelessly', 0.9892062539635865]
['county', 0.9892062539635865]
['unavowed', 0.9892062539635865]
['ferociously', 0.9892062539635865]
['adduced', 0.9892062539635865]
['selling', 0.9892062539635865]
['unlit', 0.9892062539635865]
['phillips', 0.9892062539635865]
['reverses', 0.9892062539635865]
['preoccupations', 0.9892062539635865]
['undergoing', 0.9892062539635865]
['paralysed', 0.9892062539635865]
['uttermost', 0.9892062539635865]
['prodigy', 0.9892062539635865]
['99712', 0.9891913828476555]
['epidemic', 0.9891179188709551]
['fullest', 0.9890870550215608]
['chase', 0.9890121880044448]
['exempt', 0.9890059382881415]
['jargon', 0.9889867106379485]
['falsehood', 0.9889867106379485]
['midway', 0.9889867106379485]
['dell', 0.9889867106379485]
['indeterminate', 0.9889867106379485]
['invades', 0.9889021291472648]
['catskill', 0.9888674731758994]
['luiz', 0.9888018603406038]
['presenting', 0.9887778824627541]
['artificial', 0.9887768577994521]
['needy', 0.9887606669215212]
['moulded', 0.9887337371139497]
['slantin', 0.9887032081494732]
['_cholera', 0.9886275184878336]
['blinding', 0.9884395343672372]
['fades', 0.9883990295249188]
['weep', 0.9883523872903118]
['seconded', 0.9883523872903118]
['resign', 0.9883523872903118]
['premise', 0.9883458611367536]
['entreat', 0.9883292657229363]
['privately', 0.9883146281090809]
['tantalized', 0.988236541093342]
['unfelt', 0.9882231310035832]
['infinite', 0.9882231310035832]
['ventilation', 0.988191668727407]
['monday', 0.988166528164253]
['kine', 0.9880944260714258]
['earlier', 0.9880021936649105]
['wirt', 0.9880021936649105]
['tyrants', 0.9878971523582579]
['_prostitution', 0.9878580123723713]
['narcissus', 0.9878377175544323]
['raises', 0.9878377175544323]
['quack', 0.9878073096455562]
['vehemently', 0.9878073096455562]
['5th', 0.9877759879377331]
['enveloping', 0.9877759879377331]
['purely', 0.9877759879377331]
['kansas', 0.9877408907477799]
['defenceless', 0.9876660131007126]
['patineurs', 0.9876543513643619]
['heroine', 0.9876073706739467]
['apparently', 0.9876073706739467]
['assistance', 0.9876073706739467]
['aver', 0.9875635073624611]
['remedy', 0.9875635073624611]
['befitting', 0.9875635073624611]
['springing', 0.9875635073624611]
['copings', 0.9874928810945154]
['gallic', 0.987436095796975]
['alluding', 0.9874126094851735]
['bohemians', 0.9874120926545183]
['bismarck', 0.9874120926545183]
['agitation', 0.9874120926545183]
['throbbing', 0.9874120926545183]
['monumental', 0.9874120926545183]
['level', 0.9874120926545183]
['inshore', 0.9874120926545183]
['nincan', 0.9874120926545183]
['bersaglieri', 0.9874120926545183]
['integral', 0.9874120926545183]
['ch', 0.9874120926545183]
['lydius', 0.9874120926545183]
['ther', 0.9874120926545183]
['bias', 0.9874120926545183]
['gambling', 0.9874120926545183]
['perfume', 0.9874120926545183]
['sprawled', 0.9874120926545183]
['springs', 0.9874120926545183]
['fort', 0.9874120926545183]
['1338', 0.9874120926545183]
['me', 0.9874120926545183]
['modes', 0.9874120926545183]
['clot', 0.9874120926545183]
['calmer', 0.9874120926545183]
['nakedness', 0.9874120926545183]
['reasons', 0.9874120926545183]
['improvidence', 0.9874120926545183]
['hereafter', 0.9874120926545183]
['remaining', 0.9874120926545183]
['talkin', 0.9874120926545183]
['paroxysm', 0.9874120926545183]
['prettier', 0.9874120926545183]
['strangling', 0.9874120926545183]
['mastiffs', 0.9874120926545183]
['rule', 0.9874120926545183]
['aiding', 0.9874120926545183]
['dig', 0.9874120926545183]
['deformed', 0.9874120926545183]
['bustin', 0.9874120926545183]
['patches', 0.9874120926545183]
['orphans', 0.9874120926545183]
['onions', 0.9874120926545183]
['during', 0.9873204517513625]
['gunboat', 0.9871756429763966]
['bignonia', 0.9871449366449082]
['masse_', 0.9871449366449082]
['per', 0.9870959577207741]
['legends', 0.9870959577207741]
['papyrus', 0.9870959577207741]
['medicine', 0.9870959577207741]
['botanist', 0.9870959577207741]
['dropsical', 0.9870959577207741]
['cogent', 0.9870959577207741]
['delights', 0.9870959577207741]
['okalbia', 0.9870959577207741]
['heights', 0.9870824938836172]
['shipping', 0.9870824938836172]
['soughing', 0.9870295356234274]
['dimmed', 0.9870086024083659]
['record', 0.9870045114091814]
['contrition', 0.986995666275561]
['avenues', 0.9869310575155757]
['fellows', 0.986928497458033]
['broaching', 0.9868563369589942]
['bricks', 0.9868052399086105]
['expression', 0.9867965394316113]
['civil', 0.9866431754563867]
['poisonous', 0.9866006297679616]
['high', 0.9865970934751395]
['wound', 0.9865943057564478]
['tithe', 0.9865922222009406]
['sympathetic', 0.9865658503810555]
['awaking', 0.9865455481836747]
['exquisitely', 0.986544985818001]
['rebellious', 0.9865191353842794]
['lists', 0.9864586490079469]
['cranny', 0.9864586490079469]
['unmanageable', 0.9864546943288173]
['maddened', 0.9864064862404779]
['miscellaneous', 0.9864064862404779]
['thanks', 0.9863852354110338]
['hearted', 0.9863852354110338]
['deal', 0.9863852354110338]
['conclaves', 0.9863852354110338]
['moses', 0.9863852354110338]
['testified', 0.9863852354110338]
['ebb', 0.9863852354110338]
['tous', 0.986357065785726]
['schools', 0.9863563019017364]
['plentifully', 0.9863563019017364]
['dumpish', 0.9862984757131313]
['despite', 0.9862984757131313]
['store', 0.9862984757131313]
['box_', 0.9862984757131313]
['dismantled', 0.9862984757131313]
['parthie', 0.9862984757131313]
['darcandarca', 0.9862984757131313]
['frank', 0.9862984757131313]
['refinements', 0.9862984757131313]
['should', 0.9862984757131313]
['asiatic', 0.9862984757131313]
['eleusinian', 0.9862984757131313]
['frankincense', 0.9862984757131313]
['amended', 0.9862984757131313]
['confession', 0.9862984757131313]
['way', 0.9862336937744433]
['peered', 0.9861882272957329]
['added', 0.9861780896466125]
['concluded', 0.9860417095422139]
['tenacity', 0.9859550776047818]
['glanced', 0.9859151446405586]
['suspected', 0.9858482733009841]
['occur', 0.9858202288391623]
['cortege', 0.9857588192200016]
['exploring', 0.9857535168039209]
['pluto', 0.9857461323654295]
['unaided', 0.9857364784875314]
['campanella', 0.9857290809775611]
['adversary', 0.9857290809775611]
['proportion', 0.9856509180930366]
['162', 0.9856509180930366]
['omnipotence', 0.9856063006543436]
['doubtfully', 0.9856063006543436]
['_siesta_', 0.9856063006543436]
['nourishment', 0.9856063006543436]
['republic', 0.9856063006543436]
['creations', 0.9856063006543436]
['unstrung', 0.9856063006543436]
['attends', 0.9856063006543436]
['cultivatin', 0.9856063006543436]
['weak', 0.9856063006543436]
['godly', 0.9856063006543436]
['hunder', 0.9856063006543436]
['hircarrahs', 0.9856063006543436]
['grands', 0.9856063006543436]
['isis', 0.985573001996551]
['predicted', 0.985573001996551]
['misguided', 0.985573001996551]
['manuscripts', 0.985573001996551]
['swiss', 0.9855348600340013]
['symbola', 0.9855036657980198]
['damnable', 0.9855036657980198]
['secretaries', 0.9855036657980198]
['devious', 0.9855036657980198]
['alternate', 0.9855036657980198]
['meadows', 0.9855036657980198]
['representatives', 0.9855036657980198]
['slim', 0.9855036657980198]
['mingling', 0.9855036657980198]
['rebuking', 0.9855036657980198]
['spotted', 0.9855036657980198]
['sees', 0.9855036657980198]
['imachin', 0.9855036657980198]
['reek', 0.9855036657980198]
['illuminates', 0.9854060868843159]
['caverns', 0.9852996352826421]
['mountain', 0.9852996352826421]
['visitor', 0.9852191080551334]
['rattling', 0.9851972909569363]
['slowness', 0.9851869717383306]
['corvinus', 0.9851869717383306]
['trusty', 0.9851417183938825]
['scholars', 0.9851417183938825]
['seafaring', 0.9851158310795639]
['minny', 0.9850128123811616]
['bashan', 0.984990271434125]
['blowholes', 0.9849895758537107]
['convey', 0.9849814225077252]
['walter', 0.9849715252792383]
['franklin', 0.9849338171594232]
['breviary', 0.9849338171594232]
['mendelssohn', 0.9849324612931528]
['evade', 0.9849291518972539]
['arrow', 0.9848338559927474]
['eddy', 0.9847762650293684]
['remark', 0.9844753651918885]
['gem', 0.9844732715926099]
['beaches', 0.9844732715926099]
['effective', 0.9844732715926099]
['grazing', 0.9844732715926099]
['reassure', 0.9844732715926099]
['resent', 0.9844732715926099]
['disobedient', 0.9844424124369472]
['execrable', 0.9844215124270543]
['lies', 0.9844182622757968]
['woodman', 0.9844145945463602]
['utilize', 0.9843774952486171]
['rushed', 0.9843774952486171]
['doves', 0.9843774952486171]
['sassy', 0.9843774952486171]
['saffron', 0.9843675169598158]
['twin', 0.9843348932421331]
['disposing', 0.9843348932421331]
['directeur', 0.9843348932421331]
['bestower', 0.9843348932421331]
['widely', 0.9843348932421331]
['meddlesome', 0.9843283563746913]
['minutely', 0.9842791962862918]
['breathlessly', 0.9842791962862918]
['howlin', 0.984271243934299]
['annual', 0.984271243934299]
['policies', 0.9841250850217492]
['tended', 0.9841154665397204]
['colonial', 0.9840780673803513]
['ask', 0.9840307104553355]
['knowles', 0.9840307104553355]
['bought', 0.9840307104553355]
['lurched', 0.9840307104553355]
['commodity', 0.9840307104553355]
['russians', 0.9840307104553355]
['comforting', 0.9840307104553355]
['loi', 0.9840156393648645]
['pillows', 0.9839388133773261]
['darkening', 0.9839388133773261]
['ascetics', 0.9838501166389632]
['luxuriously', 0.983783456960076]
['hillside_', 0.9837499668115625]
['likeness_', 0.9837357929351093]
['mustard', 0.9837357929351093]
['gird', 0.9837357929351093]
['imbue', 0.98369167667838]
['stoutest', 0.9836820162672039]
['sanitation', 0.9836362566706567]
['clump', 0.9835099392601828]
['column', 0.9834674259492882]
['terse', 0.9834674259492882]
['helena', 0.9834527516663393]
['utrecht', 0.9834524974353465]
['gentler', 0.9833837287361047]
['won', 0.9833181924932063]
['mouldering', 0.9832042222658343]
['sipping', 0.9832042222658343]
['huntsman', 0.9831818015500574]
['benighted', 0.9831054897731327]
['calls', 0.9831054897731327]
['satisfactory', 0.9830025553059845]
['pulp', 0.9830025553059845]
['lazier', 0.9830025553059845]
['amaranths', 0.9830025553059845]
['annals', 0.9830025553059845]
['task', 0.9830025553059845]
['diseases', 0.9830025553059845]
['reclining', 0.9830025553059845]
['doubting', 0.9830025553059845]
['gif', 0.9830025553059845]
['sup', 0.9830025553059845]
['softest', 0.9830025553059845]
['shirt', 0.9830025553059845]
['drowning', 0.9830025553059845]
['fille', 0.9830025553059845]
['fall', 0.9830025553059845]
['back', 0.9830025553059845]
['tattered', 0.9830025553059845]
['demeanour', 0.9830025553059845]
['coups', 0.9830025553059845]
['arnold', 0.9830025553059845]
['_love_', 0.9830025553059845]
['tricksy', 0.9830025553059845]
['loftier', 0.9830025553059845]
['palpably', 0.9830025553059845]
['aura', 0.9830025553059845]
['suited', 0.9830025553059845]
['nonproprietary', 0.9830025553059845]
['within', 0.9830025553059845]
['data', 0.9830025553059845]
['prone', 0.9830025553059845]
['_little_', 0.9830025553059845]
['invisible', 0.9830025553059845]
['meat', 0.9830025553059845]
['brothers_', 0.9830025553059845]
['efficacy', 0.9830025553059845]
['computers', 0.9830025553059845]
['thickets', 0.9830025553059845]
['hohenlohe', 0.9830025553059845]
['communion', 0.9830025553059845]
['swimmin', 0.9830025553059845]
['recognise', 0.9830025553059845]
['goldsmith', 0.9830025553059845]
['prelude', 0.9830025553059845]
['renault', 0.9830025553059845]
['unlike', 0.9830025553059845]
['nobles', 0.9830025553059845]
['_lunarium_', 0.9830025553059845]
['beneath', 0.9830025553059845]
['opportunities', 0.9830025553059845]
['mobilization', 0.9830025553059845]
['puttin', 0.9830025553059845]
['innocently', 0.9830025553059845]
['throwing', 0.9830025553059845]
['fathers', 0.9830025553059845]
['carlton', 0.9830025553059845]
['tapped', 0.9830025553059845]
['estimable', 0.9830025553059845]
['fideles', 0.9830025553059845]
['acre', 0.9830025553059845]
['disused', 0.9830025553059845]
['dam', 0.9830025553059845]
['dar', 0.9830025553059845]
['hellish', 0.9830025553059845]
['revival', 0.9830025553059845]
['incomparable', 0.9830025553059845]
['oupire', 0.9830025553059845]
['affording', 0.9830025553059845]
['exhausting', 0.9830025553059845]
['eyewitness', 0.9830025553059845]
['fight', 0.9829476447465684]
['poaching', 0.9829476447465684]
['verses', 0.9829476447465684]
['goat', 0.9829476447465684]
['xanadu', 0.9829476447465684]
['puissant', 0.9829476447465684]
['etat', 0.9829476447465684]
['females', 0.9828328207780889]
['draggled', 0.9828328207780889]
['windjammers', 0.9828328207780889]
['project', 0.9828328207780889]
['clocks', 0.9828328207780889]
['terminated', 0.9828328207780889]
['unfriendliness', 0.9828328207780889]
['now', 0.9828328207780889]
['yearnings', 0.9828328207780889]
['yowl', 0.9828328207780889]
['venerate', 0.9828328207780889]
['wears', 0.9828328207780889]
['venting', 0.9828328207780889]
['_xix_', 0.9828328207780889]
['like', 0.9828328207780889]
['settles', 0.9828328207780889]
['dialect', 0.9828328207780889]
['researches', 0.9828328207780889]
['fiercer', 0.9828328207780889]
['wholesale', 0.9828328207780889]
['lighting', 0.9828328207780889]
['howls', 0.9828328207780889]
['descried', 0.9828328207780889]
['peace', 0.9828328207780889]
['careened', 0.9828328207780889]
['oud', 0.9828328207780889]
['protestants', 0.9828328207780889]
['shrugging', 0.9828328207780889]
['explained', 0.9828328207780889]
['beatitudes', 0.9828328207780889]
['silliness', 0.9828328207780889]
['jovial', 0.9828328207780889]
['maids', 0.9828328207780889]
['crystallise', 0.9828328207780889]
['elysee', 0.9828328207780889]
['pounds', 0.9828328207780889]
['himalah', 0.9828328207780889]
['opaque', 0.9828328207780889]
['skates', 0.9828328207780889]
['gratingly', 0.9828328207780889]
['fervour', 0.9828328207780889]
['blurred', 0.9828328207780889]
['gross', 0.9828328207780889]
['awakened', 0.9828328207780889]
['token', 0.9828328207780889]
['germans', 0.9828328207780889]
['unprejudiced', 0.9828328207780889]
['apart', 0.9828328207780889]
['mater', 0.9828328207780889]
['comprehending', 0.9828328207780889]
['dauntless', 0.9828328207780889]
['pacific', 0.9828328207780889]
['every', 0.9828328207780889]
['enlisting', 0.9828328207780889]
['imperishable', 0.9828328207780889]
['radium', 0.9828328207780889]
['country', 0.9828328207780889]
['darts', 0.9828328207780889]
['necessity', 0.9828328207780889]
['formal', 0.9828328207780889]
['toutoisi', 0.9828328207780889]
['gentle', 0.9828328207780889]
['vestiaire', 0.9828328207780889]
['gravitational', 0.9828328207780889]
['oxide', 0.9828328207780889]
['salon', 0.9828328207780889]
['befallen', 0.9828328207780889]
['throw', 0.9828328207780889]
['current', 0.9828328207780889]
['arrogate', 0.9828328207780889]
['dragoon', 0.9828328207780889]
['uneducated', 0.9828328207780889]
['discolors', 0.9828328207780889]
['balustrades', 0.9828328207780889]
['dow', 0.9828328207780889]
['thoroughness', 0.9828328207780889]
['12', 0.9828328207780889]
['replaced', 0.9828328207780889]
['goods', 0.9828328207780889]
['abutment', 0.9828328207780889]
['add', 0.9828328207780889]
['though', 0.9828328207780889]
['clearer', 0.9828328207780889]
['abler', 0.9828328207780889]
['vest', 0.9828328207780889]
['activities', 0.9828328207780889]
['realised', 0.9828328207780889]
['_nine', 0.9828328207780889]
['chirruping', 0.9828328207780889]
['figurative', 0.9828328207780889]
['jardin', 0.9828328207780889]
['hiding', 0.9828328207780889]
['grate', 0.9828328207780889]
['whenever', 0.9828328207780889]
['curls', 0.9828328207780889]
['gentlemen', 0.9828328207780889]
['enjoyment', 0.9828328207780889]
['utopia', 0.9828328207780889]
['rested', 0.9828328207780889]
['upset', 0.9828328207780889]
['gladiators', 0.9828328207780889]
['sentence', 0.9828328207780889]
['perjury', 0.9828328207780889]
['appearance', 0.9828328207780889]
['clinging', 0.9828328207780889]
['cubbing', 0.9828328207780889]
['triomphe', 0.9828328207780889]
['ray', 0.9828328207780889]
['paternal', 0.9828328207780889]
['advances', 0.9828328207780889]
['solids', 0.9828328207780889]
['suez', 0.9828328207780889]
['transmitted', 0.982789140186416]
['sordidness', 0.9827878874186843]
['haughtily', 0.9827626130568673]
['kempis', 0.9827152512966281]
['peerless', 0.9826335578823393]
['stretching', 0.9826259464477034]
['weeping', 0.9825833490952072]
['duchesses', 0.9825298298222782]
['thrill_', 0.9824195400585607]
['curate', 0.9822804174625733]
['votary', 0.9821962888894661]
['meditations', 0.9821585484439492]
['roundhouse', 0.9821474639174897]
['downfall', 0.9821474639174897]
['gorgeous', 0.9821353419358059]
['coldness', 0.9821187402113888]
['bluster', 0.9821082597253064]
['revolvers', 0.982062158655884]
['milon', 0.9819215492575617]
['sert', 0.9817265100956816]
['guardian', 0.9816284025167284]
['espionage', 0.9815346182848087]
['environs', 0.9814846517624395]
['at', 0.9814796845933237]
['amount', 0.9814789998525529]
['beaucoup', 0.9812967440883777]
['compass', 0.9812698180940538]
['prescribes', 0.9812698180940538]
['expenses', 0.9812698180940538]
['17th', 0.9812077894985816]
['grumble', 0.9810910896408762]
['lash', 0.9810424652201051]
['rhythmic', 0.9810424652201051]
['poor', 0.9810424652201051]
['impostures', 0.9810424652201051]
['cave', 0.9810424652201051]
['evangelization', 0.9810424652201051]
['sweating', 0.9810424652201051]
['treasure', 0.9810424652201051]
['brigatine', 0.9810424652201051]
['porters', 0.9810424652201051]
['quiet', 0.9810424652201051]
['irrespective', 0.9810424652201051]
['moot', 0.9810424652201051]
['amply', 0.9810424652201051]
['crowds', 0.9810424652201051]
['typhoid', 0.9810424652201051]
['lacks', 0.9810424652201051]
['modeled', 0.9810424652201051]
['metternich', 0.9810424652201051]
['pains', 0.9810424652201051]
['province', 0.9810424652201051]
['oilskin', 0.9810424652201051]
['favourable', 0.9810424652201051]
['mewed', 0.9810424652201051]
['vagabond', 0.9810424652201051]
['impecunious', 0.9810424652201051]
['painted', 0.9810424652201051]
['constitutes', 0.9810424652201051]
['scar', 0.9810424652201051]
['babes', 0.9810424652201051]
['muttering', 0.9810424652201051]
['mauvaise', 0.9810424652201051]
['inaccurate', 0.9810424652201051]
['hoofs', 0.9810424652201051]
['mastodon', 0.9810424652201051]
['mea_', 0.9810424652201051]
['tale', 0.9810424652201051]
['writing', 0.9810424652201051]
['unlikely', 0.9810424652201051]
['flamingo', 0.9810424652201051]
['_hypotheses_', 0.9810424652201051]
['satellite', 0.9810424652201051]
['gives', 0.9810424652201051]
['cloth', 0.9810424652201051]
['95', 0.9810424652201051]
['ownership', 0.9810424652201051]
['knew', 0.9810424652201051]
['borrow', 0.9810424652201051]
['wade', 0.9810424652201051]
['gettin', 0.9810424652201051]
['consideration', 0.9810424652201051]
['swell', 0.9810424652201051]
['probable', 0.9810424652201051]
['parade', 0.9810424652201051]
['laurel', 0.9810424652201051]
['retire', 0.9810424652201051]
['okalbians', 0.9810424652201051]
['transforming', 0.9810424652201051]
['2004', 0.9810424652201051]
['ignatieff', 0.9810424652201051]
['pennyroyal', 0.9810424652201051]
['respects', 0.9810424652201051]
['vital', 0.9807974215496442]
['renew', 0.9807471744126847]
['abeyance', 0.9807471744126847]
['ass', 0.9806098203712404]
['chymera', 0.9805895712174704]
['roarin', 0.9805832994107956]
['blend', 0.980538549743466]
['tweaks', 0.9804197248229909]
['stealing', 0.9804145238311432]
['ideals', 0.9804145238311432]
['engenders', 0.9804145238311432]
['plausibly', 0.9804145238311432]
['deals', 0.9803655301269512]
['reached', 0.9802787598877776]
['entertained', 0.9801451770330506]
['luxuries', 0.9799903587522564]
['theodoric', 0.9797785059650868]
['devotion', 0.9797640343949257]
['bother', 0.9797598454131]
['gravitate', 0.9797474944301275]
['_blow', 0.9797429099001165]
['forum', 0.9797108548379039]
['bnf', 0.9795293950542907]
['missing', 0.979439601599511]
['trigger', 0.9793760704644286]
['ties', 0.9793550654137436]
['conclusions', 0.9793505957818048]
['profusely', 0.9793342288088335]
['publish', 0.9793217054248002]
['predestined', 0.9792312259000131]
['superficiality', 0.9792102947123292]
['skeered', 0.9791925660895576]
['thronged', 0.9791925660895576]
['prematurely', 0.9791789237574822]
['hair', 0.979104511505168]
['dutch', 0.979104511505168]
['economy_', 0.9790699060479855]
['frowned', 0.9789858488733933]
['unobstructed', 0.9789858488733933]
['warnings', 0.9789858488733933]
['loosening', 0.9789825345065009]
['compiegne', 0.9787493935382614]
['pairs', 0.9787493935382614]
['_swelling', 0.9787493935382614]
['uranium', 0.9787493935382614]
['pencil', 0.9787493935382614]
['sulky', 0.9787493935382614]
['squatted', 0.9787493935382614]
['haras', 0.9787493935382614]
['sublimity', 0.9787493935382614]
['condoleance', 0.9787493935382614]
['monogram', 0.9787493935382614]
['misconceive', 0.9787493935382614]
['inserted', 0.9787493935382614]
['attaching', 0.9787493935382614]
['plodding', 0.9787493935382614]
['adoring', 0.9787493935382614]
['antics', 0.9787493935382614]
['detours', 0.9787493935382614]
['flashing', 0.9787493935382614]
['brief', 0.9787493935382614]
['compressed', 0.9787493935382614]
['flat', 0.9787493935382614]
['hissed', 0.9787493935382614]
['diabolic', 0.9787493935382614]
['person', 0.9787493935382614]
['applicant', 0.9787493935382614]
['middling', 0.9787493935382614]
['banal', 0.9787493935382614]
['indications', 0.9787493935382614]
['funnel', 0.9787493935382614]
['reign', 0.9787493935382614]
['friend', 0.9787493935382614]
['gorgeousness', 0.9787493935382614]
['rudimentary', 0.9787493935382614]
['absorb', 0.9787493935382614]
['hungarian', 0.9787493935382614]
['pitti', 0.9787493935382614]
['dakota', 0.9787493935382614]
['europeans', 0.9787493935382614]
['intertwined', 0.9787493935382614]
['_now_', 0.9787493935382614]
['taylor', 0.9787493935382614]
['vienna', 0.9787493935382614]
['sort', 0.9787493935382614]
['_bottled_', 0.9787493935382614]
['ticklish', 0.9787493935382614]
['orleanist', 0.9787493935382614]
['cries', 0.9787493935382614]
['ornamental', 0.9787493935382614]
['foundation', 0.9787493935382614]
['theological', 0.9787493935382614]
['trappings', 0.9787493935382614]
['retardation', 0.9787493935382614]
['challenge', 0.9787493935382614]
['painting', 0.9787493935382614]
['contribute', 0.9787493935382614]
['wistfully', 0.9787493935382614]
['mellifluous', 0.9787493935382614]
['juin', 0.9787493935382614]
['peat', 0.9787493935382614]
['nestled', 0.9787493935382614]
['crab', 0.9787493935382614]
['furore', 0.9787493935382614]
['partners', 0.9787493935382614]
['helplessness', 0.9787493935382614]
['graces', 0.9787493935382614]
['possibility', 0.9787493935382614]
['credit', 0.9787493935382614]
['introductions', 0.9787493935382614]
['emerged', 0.9787493935382614]
['broadcast', 0.9787493935382614]
['shod', 0.9787493935382614]
['dictators', 0.9787493935382614]
['speculations', 0.9787493935382614]
['intelligible', 0.9787493935382614]
['nooks', 0.9787493935382614]
['barely', 0.9787493935382614]
['colombia', 0.9787493935382614]
['profitable', 0.9787493935382614]
['frightful', 0.9787493935382614]
['swift', 0.9787493935382614]
['walk', 0.9787493935382614]
['it_', 0.9787493935382614]
['strasburg', 0.9787493935382614]
['timely', 0.9787493935382614]
['entered', 0.9787493935382614]
['worm', 0.9787493935382614]
['addressed', 0.9787493935382614]
['crave', 0.9787493935382614]
['overcome', 0.9787493935382614]
['said', 0.9787493935382614]
['bold', 0.9787493935382614]
['amsterdam', 0.9787493935382614]
['abnormal', 0.9787493935382614]
['aquinas', 0.9787493935382614]
['pained', 0.9787493935382614]
['shopping', 0.9787493935382614]
['pas', 0.9787493935382614]
['ferocity', 0.9787493935382614]
['holdin', 0.9787493935382614]
['multiply', 0.9787493935382614]
['racehorses', 0.9787493935382614]
['ticking', 0.9787493935382614]
['attire', 0.9787493935382614]
['delve', 0.9787493935382614]
['withdrawn', 0.9787493935382614]
['compel', 0.9787243015439407]
['snows', 0.9786533258464268]
['bleached', 0.9786533258464268]
['alleghanies', 0.9786062032507247]
['madam', 0.9785908513810306]
['_sabe_', 0.9785786313664506]
['luster', 0.9784423453165196]
['bubbling', 0.9784423453165196]
['primal', 0.9784347743978844]
['absences', 0.9783732495645922]
['wholly', 0.9783732495645922]
['countryman', 0.9783732495645922]
['anthems', 0.9783732495645922]
['irksome', 0.9783395365461476]
['admonitions', 0.9781939206436827]
['suppression', 0.978126962026535]
['overshot', 0.9780935738360619]
['passer', 0.9780457626405423]
['carries', 0.9778320785799852]
['multitude', 0.9778177500017263]
['telegram', 0.9776947024738907]
['truly', 0.9776947024738907]
['comprehends', 0.9776947024738907]
['mysterious', 0.9776396150432398]
['loom', 0.9776396150432398]
['charred', 0.9776396150432398]
['embracing', 0.9776396150432398]
['uhlan', 0.9775886969044055]
['rossetti', 0.9775571929110555]
['sweetmeats', 0.9775454251910154]
['reverie', 0.9775248262240299]
['tumbling', 0.9774603366737661]
['glides', 0.9774603366737661]
['quest', 0.9774603366737661]
['turvy', 0.9772765018082918]
['pulls', 0.9771731326705712]
['amorosa', 0.9770517192332092]
['boasts', 0.9769585447438014]
['identify', 0.976861780778432]
['irrigation', 0.9768392947608147]
['flooded', 0.9767086614797396]
['ludus', 0.9767086614797396]
['occupy', 0.9767086614797396]
['_luna', 0.9767086614797396]
['enchantments', 0.9767086614797396]
['equalising', 0.9767086614797396]
['dogmatic', 0.976600344536513]
['lunched', 0.976600344536513]
