['undoubtedly', 0.9975319615512502]
['drunkenness', 0.9023419582932777]
['commanding', 0.9023419582932777]
['betting', 0.9023419582932777]
['genius', 0.9023419582932777]
['exist', 0.902255087584281]
['rivaled', 0.9020501818756937]
['perfect', 0.9020370551525152]
['hills', 0.901903057194059]
['advertisement', 0.901608855405587]
['slew', 0.901608855405587]
['accident', 0.9016082608876882]
['surpasses', 0.9013368980876566]
['entertainment', 0.9013368980876566]
['clanking', 0.9010558927854244]
['sandalphon', 0.900994193255914]
['whiter', 0.9009521585283743]
['financial', 0.9009423074438767]
['fang', 0.9007192923991769]
['endearments', 0.9000920587571449]
