['laudable', 0.9986544800537759]
['illustrate', 0.9203257179050093]
['martius', 0.9203257179050093]
['arithmetic', 0.9203257179050093]
['father', 0.9203257179050093]
['shrieking', 0.9203257179050093]
['forehead', 0.9203257179050093]
['untenable', 0.9203257179050093]
['dislocation', 0.9203257179050093]
['quietness', 0.9203257179050093]
['figured', 0.9203257179050093]
['pry', 0.9203257179050093]
['prongs', 0.9203257179050093]
['nailed', 0.9203257179050093]
['bodily', 0.9203257179050093]
['pompeius', 0.9203257179050093]
['items', 0.9203257179050093]
['cargo', 0.9203257179050093]
['50', 0.9203257179050093]
['butchering', 0.9203257179050093]
['doubling', 0.9203257179050093]
['restrained', 0.9203257179050093]
['rattles', 0.9203257179050093]
['blubber', 0.9203257179050093]
['cologne', 0.9203257179050093]
['ranged', 0.9203257179050093]
['precincts', 0.9198437567771472]
['totter', 0.919711971184224]
['checks', 0.919711971184224]
['seamless', 0.9190691763368624]
['walking', 0.9190097497707684]
['reached', 0.9188794331993774]
['nervousness', 0.9184830059070351]
['muscle', 0.917821325427004]
['withdraw', 0.9177546710187494]
['arithmetical', 0.9175710842093335]
['semi', 0.9174625553475816]
['topper', 0.9174185693193903]
['relatives', 0.9173640588042009]
['cesspool', 0.9173640588042009]
['taels', 0.9172893312591462]
['huts', 0.9168372182844627]
['theodoric', 0.9168217085572153]
['advertisement', 0.9166915865424687]
['slew', 0.9166915865424687]
['smala', 0.9166267676887426]
['directed', 0.9166267676887426]
['translation', 0.9164947355676027]
['sportsman', 0.9160149146194717]
['then', 0.9158847748757452]
['dupes', 0.9158755003299637]
['faculty', 0.9156857123085352]
['easterly', 0.9156510277326791]
['_so_', 0.9151298183645542]
['clambered', 0.9150209916732414]
['rebellious', 0.9148159541322333]
['harmful', 0.9147513708562457]
['predestined', 0.9145705484463486]
['superficiality', 0.9144844509292015]
['quips', 0.9140913383585126]
['inordinate', 0.9140913383585126]
['companies', 0.9140913383585126]
['milky', 0.9140913383585126]
['grows', 0.9140913383585126]
['advanced', 0.9140913383585126]
['cruise', 0.9140739753272697]
['450', 0.9138445862877731]
['owed', 0.9134442337607838]
['abiding', 0.9131940558360722]
['vegetable', 0.9131940558360722]
['1901', 0.9131683353916169]
['roosting', 0.9129870044855087]
['nerved', 0.9127422509520169]
['compel', 0.9124853859081091]
['witting', 0.9122987849461159]
['hazelike', 0.912262654175483]
['bondage', 0.9121374602214097]
['excuses', 0.9121346082992164]
['madam', 0.9119364573015255]
['floating', 0.9113825554170525]
['absences', 0.9110413826213388]
['wholly', 0.9110413826213388]
['countryman', 0.9110413826213388]
['anthems', 0.9110413826213388]
['born', 0.9107558255819621]
['waste', 0.9107558255819621]
['betide', 0.9100299542059829]
['overshot', 0.9098909755734226]
['clerge', 0.9098050450809415]
['rugby', 0.9094406395209204]
['paused', 0.9094374313333576]
['planets', 0.9092551953044816]
['speculation', 0.9092551953044816]
['spend', 0.9090615643968002]
['winged', 0.9088432863078988]
['mass', 0.9085524629443986]
['whisker', 0.90837498133186]
['telegram', 0.9082502739341878]
['truly', 0.9082502739341878]
['comprehends', 0.9082502739341878]
['command', 0.9076755705537677]
['_passion', 0.907643100216405]
['reverie', 0.9075515117064447]
['affidavit', 0.9073953613182266]
['bloom', 0.9073953613182266]
['ends', 0.9073460477519767]
['lethargy', 0.9072271702409933]
['mistrusted', 0.906842065783645]
['cultures', 0.9068354385226702]
['thraldom', 0.9065888475495232]
['venerable', 0.9065133593425138]
['ennobles', 0.9063851457854927]
['undersecretary', 0.9061667210789703]
['perforated', 0.9061630311592739]
['fences', 0.9061607479699325]
['tongtoia', 0.9061433380768037]
['transgressions', 0.905958119698828]
['crooked', 0.9058676427508563]
['cited', 0.9052570866324298]
['aint', 0.9052570866324298]
['boasts', 0.9052221919282041]
['gravitating', 0.9051633939433381]
['windfall', 0.9051633939433381]
['standers', 0.9050086387257047]
['irrigation', 0.9047316737784424]
['expenditure', 0.9045648688080009]
['_theories_', 0.9044804621699165]
['scudding', 0.9044804621699165]
['endeavor', 0.9044804621699165]
['army', 0.9044804621699165]
['disorganized', 0.9042544939818028]
['rhone', 0.9035766100289241]
['beggin', 0.9033348386923615]
['combine', 0.9033348386923615]
['impressed', 0.9032645816644947]
['rally', 0.9028728161933712]
['caesaris', 0.9028728161933712]
['chortasoo', 0.9027755779810491]
['contradictory', 0.9024649395644755]
['tiny', 0.9014373682690247]
['deserves', 0.9014134895582198]
['stirs', 0.9011904037525127]
['disciplined', 0.9011573578183375]
['anxiously', 0.9011573578183375]
['gang', 0.9011573578183375]
['forgiven', 0.9011573578183375]
['generously', 0.9011573578183375]
['vouch', 0.9011573578183375]
['adjacent', 0.9011573578183375]
['coterie', 0.9011573578183375]
['restrain', 0.9011573578183375]
['finis', 0.9011573578183375]
['lip', 0.9011573578183375]
['chested', 0.9011573578183375]
['cordial', 0.9008481784147855]
['stockade', 0.9004871382735339]
['irresistibly', 0.9004871382735339]
['rulers', 0.9004871382735339]
['armee', 0.9004871382735339]
['flashes', 0.9001576322922133]
['gore', 0.9000154517092378]
